Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
RXR 22158963 ChIP-Seq LIVER Mouse,22/1546,0.059392512,0.211902507,0,0,1.482172874,4.185044243,PRELID1;PGLYRP2;NARF;CSF1;TMEM120A;HIP1R;GSTT2;UBE2G2;VPS37B;FOXO3;HIF1A;LYST;CENPA;RCBTB2;ACTG1;ORMDL3;CD7;ANXA6;ZYX;PXMP4;RIN3;S100A10
SMC3 22415368 ChIP-Seq MEFs Mouse,22/1546,0.059392512,0.211902507,0,0,1.482172874,4.185044243,DUSP5;L3MBTL3;CSF1;CITED2;INPP1;ITPK1;TRIP4;SLC2A3;PPM1J;PRDM1;DHRS1;CLN3;GNA15;PINK1;ID2;EHBP1L1;CD7;ZYX;S100A6;PLEKHO2;MXD1;CDK5RAP3
IRF1 21803131 ChIP-Seq MONOCYTES Human,6/276,0.059416077,0.211902507,0,0,2.237113402,6.315797144,ENTPD1;LPCAT4;EPSTI1;GLRX;TAPBPL;IL12RB1
RING1B 27294783 Chip-Seq NPCs Mouse,23/1632,0.059542853,0.211902507,0,0,1.469112654,4.144453481,DUSP5;L3MBTL3;IFNGR1;INPP1;ITGB3;GSTT2;PRDM1;FOXO3;SNX20;SORL1;ASRGL1;RCBTB2;ACTG1;RNF125;RGS3;MAF;ID2;ANXA6;RIN3;EIF4E2;ATF6;CDK5RAP3;SNTB2
E2F4 21247883 ChIP-Seq LYMPHOBLASTOID Human,32/2422,0.060431098,0.214014521,0,0,1.387527396,3.89375076,ABCB9;HIF1A;LITAF;OAZ2;RCBTB2;RAP1B;PMVK;EFHD2;CTSD;S100A11;DUSP5;NMB;GBP7;TPI1;ANXA2;APAF1;GALNT2;IL10RA;APLP2;ITPK1;TRIP4;ARPC5;VPS37B;DHRS1;SORL1;ASRGL1;PNRC2;PINK1;NPC2;RANBP10;SIPA1;SNTB2
NOTCH1 21737748 ChIP-Seq TLL Human,5/211,0.061169618,0.215578362,0,0,2.43888474,6.814499196,DUSP5;SESN1;DTX1;GIMAP5;GIMAP7
HSF1 23293686 ChIP-Seq STHDH STRIATAL Mouse,11/649,0.062120099,0.217042401,0,0,1.748038679,4.857250055,TPST2;GLIPR1;UBE2H;PGLYRP2;TPI1;NARF;ANXA2;IRAK2;ORMDL3;RIN3;UBE2G2
PBX1 22567123 ChIP-ChIP OVCAR3 Human,23/1640,0.062182947,0.217042401,0,0,1.46120143,4.058741929,APLP2;ITGB3;SH2D3C;TRAFD1;ABCB9;TEX2;LYST;CENPA;GIMAP7;PLD3;HSD11B1;CLN3;DOK2;SNX2;RGS3;ORMDL3;RANBP10;ZYX;PXMP4;PGLYRP1;CCR5;S100A11;S100A10
JARID1B-DAIN 22020125 ChIP-Seq ESCs Mouse,21/1470,0.062562462,0.217322236,0,0,1.485790624,4.118002188,NMB;TPI1;APAF1;IFNGR1;TMEM120A;HPCAL1;FURIN;PRDM1;VPS37B;LIME1;VAMP8;LPCAT4;IRAK2;EPSTI1;UNC119;RIN3;PLEKHO2;BID;CTSD;SIPA1;MYO1F
NFE2L2 22581777 ChIP-Seq LYMPHOBLASTOID Human,8/425,0.064367313,0.222526995,0,0,1.9367506,5.312796134,DUSP5;RGS3;GALNT2;ANO10;TRAFD1;BID;ASB2;SIPA1
WT1 20215353 ChIP-ChIP NEPHRON PROGENITOR Mouse,19/1307,0.064948514,0.223103408,0,0,1.5087334,4.125119135,UBE2H;IFNGR1;GALNT2;ITPR1;HIP1R;ARHGAP18;GLRX;ARPC5;TEX2;DUSP7;ACTG1;VAMP8;RNF138;ORMDL3;ZYX;NCK2;SNX9;S100A11;SIPA1
AHR 22903824 ChIP-Seq MCF-7 Human,10/577,0.065148654,0.223103408,0,0,1.785296575,4.875794272,WIPF1;CITED2;ITPK1;CD7;SIDT1;TRAFD1;S100A4;UBE2G2;PRDM1;SORL1
ETS1 22383799 ChIP-Seq G1ME Mouse,20/1394,0.065868113,0.224508215,0,0,1.490053372,4.053095413,ENTPD1;DGAT1;CITED2;IFNGR1;ITGB3;SLA;GSTT2;FOXO3;RCBTB2;ACTG1;HSD11B1;VAMP8;TPST2;HLTF;NCK2;IL12RB1;EIF4E2;GBP2;ATF6;CTSD
CEBPB 20513432 ChIP-Seq MACROPHAGES Mouse,21/1484,0.067676979,0.228778135,0,0,1.470449868,3.959935025,ENTPD1;UBE2H;TBC1D9B;ANXA2;DGAT1;SLA;ARHGAP18;GIMAP4;UBE2G2;PRDM1;DNAJC15;LIME1;RAP1B;RNF125;RAET1E;IRAK2;ID2;EHBP1L1;CASP4;BID;ATF6
MEIS1 26923725 Chip-Seq HEMOGENIC-ENDOTHELIUM Mouse,14/899,0.067755675,0.228778135,0,0,1.6087115,4.33040533,KDM4A;L3MBTL3;HIP1;ANXA2;GALNT2;IL10RA;ITGB3;SLA;GIMAP5;SLA2;SORL1;PRPF18;MAF;RAB19
NANOG 16518401 ChIP-PET MESCs Mouse,23/1657,0.068066222,0.228778135,0,0,1.44464729,3.882163385,L3MBTL3;UBE2H;TPI1;CITED2;GALNT2;F2R;NGLY1;SH2D3C;ITPR1;GSTT2;SLC2A3;UBE2G2;PRDM1;LYST;RAP1B;RNF125;PRPF18;RNF138;CXCR3;NCK2;GBP2;CTSD;MYO1F
CREB1 20920259 ChIP-Seq GC1-SPG Mouse,32/2451,0.068706488,0.229865945,0,0,1.368609618,3.66501564,TBC1D9B;ITGB3;ABCB9;FOXO3;LYST;ACTG1;RAP1B;CHMP1B;HLTF;ORMDL3;PMVK;ANXA6;NCK2;CIR1;CDK5RAP3;DUSP5;KDM4A;UBE2H;DGAT1;APLP2;ITPK1;SH2D3C;VPS37B;TEX2;MFSD10;DUSP7;TPST2;MAF;EHBP1L1;ZYX;PXMP4;MXD1
CRX 20693478 ChIP-Seq RETINA Mouse,21/1492,0.070726531,0.235538813,0,0,1.461814826,3.872251757,L3MBTL3;APAF1;CITED2;IFNGR1;INPP1;ARHGAP18;GSTT2;UBE2G2;PRDM1;ARPC5;TEX2;FOXO3;ACTG1;HSD11B1;RAP1B;SESN1;ANXA6;NCK2;EIF4E2;ATF6;SLAMF1
LYL1 20887958 ChIP-Seq HPC-7 Mouse,10/587,0.071266144,0.236252147,0,0,1.753443401,4.63142951,VAMP8;TPST2;TBC1D9B;ITGB3;ORMDL3;ZYX;DTX1;ABCB9;CTSD;CCR2
SOX2 20726797 ChIP-Seq SW620 Human,26/1931,0.072505756,0.239268994,0,0,1.403656439,3.683319887,ARHGAP18;SLC2A3;GLRX;PRDM1;LITAF;GNA15;RGS3;CASP4;SNX9;GBP2;CTSD;DUSP5;NMB;UBE2H;DGAT1;IFNGR1;F2R;GZMB;SDCBP2;SYTL2;TMEM154;TPST2;ID2;RANBP10;RIN3;EIF4E2
FOXH1 21741376 ChIP-Seq EPCs Human,22/1586,0.073797945,0.241833787,0,0,1.441104629,3.756130265,DUSP5;TPI1;INPP1;ITPR1;ARHGAP18;AK3;CROT;PRDM1;RHOC;OAZ2;RCBTB2;PINK1;RNF138;LPCAT4;SIDT1;S100A6;PGLYRP1;CCR5;BID;ASB2;VAMP5;SLAMF1
KDM2B 26808549 Chip-Seq K562 Human,23/1673,0.073949174,0.241833787,0,0,1.429378531,3.722640933,DUSP5;L3MBTL3;UBE2H;NARF;CSF1;APLP2;HPCAL1;ITPR1;HIP1R;ABCB9;PRDM1;VPS37B;LYST;ACTG1;PINK1;RNF138;ID2;SESN1;HLTF;NCK2;EFHD2;S100A10;SNTB2
TBX20 22080862 ChIP-Seq HEART Mouse,22/1589,0.074967394,0.242774194,0,0,1.438109033,3.725711952,L3MBTL3;NMB;TBC1D9B;GALNT2;ITPR1;NBEAL2;TEX2;DNAJC15;MFSD10;TMEM154;ACTG1;PINK1;PRPF18;SESN1;HLTF;EPSTI1;NCK2;EFHD2;PLEKHO2;JAK2;ASB2;ATF6
TBX20 22328084 ChIP-Seq HEART Mouse,22/1589,0.074967394,0.242774194,0,0,1.438109033,3.725711952,L3MBTL3;NMB;TBC1D9B;GALNT2;ITPR1;NBEAL2;TEX2;DNAJC15;MFSD10;TMEM154;ACTG1;PINK1;PRPF18;SESN1;HLTF;EPSTI1;NCK2;EFHD2;PLEKHO2;JAK2;ASB2;ATF6
SOX2 21211035 ChIP-Seq LN229 Human,22/1590,0.075360022,0.242774194,0,0,1.437113047,3.715624686,UBE2H;TPI1;ITPK1;SH2D3C;GZMB;ABCB9;TAPBPL;UBE2G2;GIMAP5;DNAJC15;SNX20;ASRGL1;PNRC2;TPST2;LPCAT4;GPR171;PMVK;EPSTI1;UNC119;SNX9;BID;S100A11
DMRT1 23473982 ChIP-Seq TESTES Mouse,23/1678,0.075857454,0.242774194,0,0,1.424667588,3.674074254,L3MBTL3;UBE2H;IFNGR1;GALNT2;APLP2;TRIP4;AK3;DTX1;CROT;VPS37B;TEX2;FOXO3;HIF1A;SORL1;ASRGL1;RCBTB2;ACTG1;RGS3;SESN1;HLTF;EHBP1L1;RIN3;MXD1
ESRRB 18555785 ChIP-Seq MESCs Mouse,16/1081,0.076031139,0.242774194,0,0,1.529699939,3.941443666,CTSA;TPI1;DGAT1;APLP2;ITGB3;AK3;GLRX;ABCB9;DNAJC15;TPST2;PSTPIP1;DDT;ANXA6;SNX9;EIF4E2;SIPA1
OLIG2 23332759 ChIP-Seq OLIGODENDROCYTES Mouse,23/1679,0.076243135,0.242774194,0,0,1.423728814,3.664432939,APAF1;CITED2;SH2D3C;TRAFD1;ARHGAP18;VPS37B;DNAJC15;LYST;SORL1;MFSD10;PRPF18;MAF;RNF138;ID2;SPATA13;EPSTI1;NCK2;EFHD2;OSTF1;CCR5;JAK2;ATF6;S100A11
TAF2 19829295 ChIP-Seq ESCs Human,22/1595,0.07734431,0.244976159,0,0,1.432152118,3.665576535,ENTPD1;TBC1D9B;HIP1;DGAT1;WIPF1;GALNT2;ITPK1;ITPR1;NKG7;SLA2;LZTFL1;RAP1B;IRAK2;ORMDL3;EFHD2;CD226;PLEKHO2;PGLYRP1;CCR5;VAMP5;CCR2;KLRG1
SRF 21415370 ChIP-Seq HL-1 Mouse,15/1001,0.077609527,0.244976159,0,0,1.547119127,3.954537189,CTSA;NARF;APAF1;CITED2;ARHGAP18;DHRS1;SORL1;SESN1;HLTF;ORMDL3;RANBP10;SIDT1;NUCB1;OSTF1;BAK1
FLI1 21867929 ChIP-Seq CD8 Mouse,20/1426,0.078796378,0.245657698,0,0,1.453611506,3.693464391,ENTPD1;HIP1;TMEM120A;AK3;GZMB;TEX2;FOXO3;DNAJC15;GIMAP7;PINK1;RNF125;RAET1E;CHMP1B;CCL5;SPATA13;EHBP1L1;EPSTI1;ANXA6;CD226;S100A11
SMAD 19615063 ChIP-ChIP OVARY Human,3/100,0.078908644,0.245657698,0,0,3.093254487,7.855209981,EPSTI1;PRDM1;SYTL2
SMAD2 18955504 ChIP-ChIP HaCaT Human,21/1513,0.079178927,0.245657698,0,0,1.439588419,3.650861132,ANXA2;IFNGR1;HIP1R;GIMAP4;FURIN;PPM1J;GIMAP5;VPS37B;RHOC;FOXO3;GIMAP7;SYTL2;GNA15;RGS3;ORMDL3;PMVK;CASP1;RIN3;OSTF1;ASB2;S100A10
SMAD3 18955504 ChIP-ChIP HaCaT Human,21/1513,0.079178927,0.245657698,0,0,1.439588419,3.650861132,ANXA2;IFNGR1;HIP1R;GIMAP4;FURIN;PPM1J;GIMAP5;VPS37B;RHOC;FOXO3;GIMAP7;SYTL2;GNA15;RGS3;ORMDL3;PMVK;CASP1;RIN3;OSTF1;ASB2;S100A10
AR 20517297 ChIP-Seq VCAP Human,22/1604,0.081005321,0.249933207,0,0,1.423301467,3.577098802,PGLYRP2;ANXA2;INPP1;NGLY1;HPCAL1;HIP1R;TRAFD1;GLRX;PPM1J;PRDM1;DHRS1;DNAJC15;RCBTB2;SYTL2;MFSD10;HSD11B1;RAP1B;PSTPIP1;CHMP1B;EHBP1L1;BID;S100A11
JUN 27471255 ChIP-Seq Chondrocytes Mouse Rib,50/4145,0.081245505,0.249933207,0,0,1.278388278,3.209112245,NARF;FAM89B;CROT;LYST;RGS3;CHMP1B;SESN1;NCK2;EFHD2;ENTPD1;APAF1;ITPK1;SH2D3C;PLAAT3;ASRGL1;LZTFL1;MFSD10;DUSP7;MAF;NPC2;SPATA13;S100A4;EIF4E2;ATF6;UNC119B;TBC1D9B;INPP1;ITPR1;AK3;FURIN;ABCB9;HIF1A;CENPA;OAZ2;IRAK2;DDT;HLTF;ORMDL3;PMVK;S100A10;KDM4A;UBE2H;TRIP4;UBE2G2;DNAJC15;TMEM154;PINK1;CD7;NUCB1;MXD1
PPARD 23176727 ChIP-Seq KERATINOCYTES Mouse,4/164,0.082642865,0.252179035,0,0,2.505102041,6.245787503,ITPR1;ANXA6;SDCBP2;ICAM1
STAT1 17558387 ChIP-Seq HELA Human,19/1349,0.082670262,0.252179035,0,0,1.45777427,3.634078665,DUSP5;ENTPD1;UBE2H;ANXA2;APAF1;WIPF1;GALNT2;SH2D1A;ARPC5;FOXO3;ICAM1;MFSD10;DOK2;SPATA13;HLTF;ZYX;RAB19;MXD1;EIF4E2
HTT 18923047 ChIP-ChIP STHdh Human,6/304,0.085426186,0.259495444,0,0,2.024008856,4.97926944,GMFG;APLP2;PMVK;TRIP4;ARHGAP18;GZMB
SOX9 25088423 ChIP-ChIP EMBRYONIC GONADS Mouse,22/1619,0.087364435,0.264277417,0,0,1.408772066,3.434117169,UBE2H;NARF;IL10RA;NGLY1;TRAFD1;AK3;ARPC5;ICAM1;TMEM154;CLN3;PODNL1;MAF;ID2;CXCR3;CD7;ANXA6;EFHD2;NUCB1;CTSD;VAMP5;SIPA1;KLRG1
VDR 20736230 ChIP-Seq LYMPHOBLASTOID Human,7/381,0.088807795,0.267528877,0,0,1.883876867,4.561394981,GNA15;CITED2;S100A6;IL12RB1;ASRGL1;ICAM1;MFSD10
ADNP 35650610 ChIP-Seq mESC Mouse Stem Autism,8/458,0.089859497,0.26957849,0,0,1.791666667,4.317035125,ENTPD1;UBE2H;SNX2;RNF138;SPATA13;EPSTI1;SLC2A3;LITAF
AR 21909140 ChIP-Seq LNCAP Human,5/238,0.091162254,0.272361303,0,0,2.153295917,5.157389945,CITED2;APLP2;CROT;ASRGL1;SYTL2
TCF21 26020271 ChIP-Seq SMOOTH MUSCLE Human,22/1629,0.091784271,0.273095821,0,0,1.399236486,3.341816567,DUSP5;UBE2H;NARF;ANXA2;CSF1;ITGB3;TRAFD1;ARHGAP18;HIF1A;SDCBP2;OAZ2;SYTL2;GNA15;RAET1E;RGS3;ID2;CHMP1B;PLEKHO2;JAK2;VAMP5;S100A10;SNTB2
GF1B 26923725 Chip-Seq HPCs Mouse,18/1284,0.092668367,0.274600957,0,0,1.447893339,3.44414458,UBE2H;GMFG;ITGB3;F2R;TRAFD1;GIMAP5;FOXO3;CENPA;SNX20;SYTL2;TMEM154;DOK2;PRPF18;CHMP1B;UNC119;BID;CCR2;TMEM229B
ILF3 29590119 ChIP-Seq K562 Human BoneMarrow Leukemia,11/700,0.093653279,0.276128063,0,0,1.614340237,3.823009249,UNC119B;UBE2H;SNX2;IRAK2;F2R;NGLY1;TRAFD1;AK3;CENPA;ASRGL1;PNRC2
MYC 27129775 Chip-Seq CORNEA Mouse,21/1547,0.094266679,0.276128063,0,0,1.4048998,3.317850005,L3MBTL3;F2R;HPCAL1;HIP1R;GSTT2;GIMAP4;ABCB9;VPS37B;ASRGL1;RAP1B;GNA15;PODNL1;MAF;LPCAT4;NPC2;ORMDL3;PMVK;ANXA6;NCK2;RIN3;CDK5RAP3
KAP1 27257070 Chip-Seq ESCs Mouse,20/1461,0.09478467,0.276128063,0,0,1.415606446,3.335377721,ITGB3;ITPK1;UBE2G2;LITAF;CENPA;PLD3;SYTL2;MFSD10;TMEM154;ACTG1;TPST2;PINK1;RNF125;NPC2;HLTF;PMVK;S100A6;ANO10;ATF6;VAMP5
TFAP2A 17053090 ChIP-ChIP MCF-7 Human,21/1549,0.09520903,0.276128063,0,0,1.402907368,3.299189888,GMFG;ITGB3;GSTT2;ABCB9;DHRS1;TEX2;SYTL2;CLN3;SH3BGRL;MAF;RNF138;NPC2;DDT;CHMP1B;CXCR3;SPATA13;RANBP10;UNC119;CD226;RIN3;SIPA1
SA1 22415368 ChIP-Seq MEFs Mouse,21/1549,0.09520903,0.276128063,0,0,1.402907368,3.299189888,L3MBTL3;TBC1D9B;CITED2;INPP1;GSTT2;SLC2A3;PPM1J;ARPC5;FOXO3;SDCBP2;RAP1B;GNA15;MAF;ID2;CD7;S100A6;PLEKHO2;JAK2;BID;CDK5RAP3;MYO1F
NANOG 18555785 ChIP-Seq MESCs Mouse,7/388,0.095465763,0.276128063,0,0,1.848598588,4.34233516,CLN3;RNF125;ID2;CHMP1B;MXD1;ICAM1;SNTB2
KLF1 20508144 ChIP-Seq FETAL-LIVER-ERYTHROID Mouse,13/868,0.096329424,0.277520483,0,0,1.540388404,3.604480311,WIPF1;CITED2;PRDM1;SLA2;LITAF;PLD3;TMEM154;SPATA13;SIDT1;NCK2;MXD1;CTSD;VAMP5
FOXA1 21915096 ChIP-Seq LNCaP-1F5 Human,22/1641,0.097280183,0.279151829,0,0,1.387949282,3.234143871,UBE2H;GBP7;TBC1D9B;ANXA2;CITED2;IFNGR1;TRIP4;FURIN;PRDM1;FOXO3;SDCBP2;ASRGL1;LZTFL1;RAP1B;DOK2;RNF125;RGS3;SESN1;SIDT1;ATF6;CCR2;SNTB2
MYC 19915707 ChIP-ChIP AK7 Human,23/1732,0.098639603,0.281565916,0,0,1.37554588,3.186152768,HIP1;DGAT1;GALNT2;ITPR1;ARHGAP18;GSTT2;NKG7;FURIN;CROT;VPS37B;SLA2;HIF1A;LITAF;SYTL2;RAP1B;PRPF18;RGS3;DDT;CASP4;SIDT1;UNC119;CDK5RAP3;MYO1F
CHD1 26751641 Chip-Seq LNCaP Human,22/1647,0.100107124,0.281565916,0,0,1.382368194,3.18154034,KDM4A;L3MBTL3;UBE2H;TPI1;CITED2;GALNT2;ARPC5;RHOC;FOXO3;LITAF;ASRGL1;DUSP7;ACTG1;PNRC2;ID2;SESN1;PMVK;S100A4;ATF6;S100A11;SIPA1;S100A10
GATA1 30185409 ChIP-Seq HPC Mouse BoneMarrow Leukemia,13/874,0.100202888,0.281565916,0,0,1.529169539,3.517943633,UBE2H;CITED2;F2R;SLA;TRAFD1;FOXO3;LYST;ACTG1;GNA15;PRPF18;EFHD2;ATF6;VAMP5
BACH1 22875853 ChIP-PCR HELA AND SCP4 Human,16/1127,0.100275467,0.281565916,0,0,1.462763668,3.364113921,CSF1;GMFG;ITGB3;SH2D3C;HIF1A;LYST;CENPA;ICAM1;DUSP7;HSD11B1;GLIPR1;RGS3;MAF;CCL5;JAK2;SLAMF1
EWS-FLI1 20517297 ChIP-Seq SK-N-MC Human,8/470,0.100400688,0.281565916,0,0,1.744047619,4.008843819,KDM4A;APAF1;F2R;IL2RB;SLA;DNAJC15;SIPA1;MYO1F
RUNX1 26923725 Chip-Seq HPCs Mouse,10/629,0.100836278,0.281565916,0,0,1.630898733,3.74170097,VAMP8;RGS3;DGAT1;ITGB3;HIP1R;TRAFD1;SNX9;CCR5;JAK2;BID
JUND 26020271 ChIP-Seq HCASMC Human CoronaryArtery,10/629,0.100836278,0.281565916,0,0,1.630898733,3.74170097,UBE2H;ORMDL3;PMVK;RIN3;VPS37B;FOXO3;MXD1;GBP2;SDCBP2;SYTL2
SOX3 22085726 ChIP-Seq NPCs Mouse,21/1565,0.102969295,0.286420339,0,0,1.387153733,3.153450479,DUSP5;L3MBTL3;TPI1;ANXA2;CSF1;CITED2;F2R;GLRX;PPM1J;TEX2;LIME1;SORL1;ACTG1;SH3BGRL;PINK1;DDT;ID2;ORMDL3;ZYX;NCK2;ATF6
TP63 30713093 ChIP-Seq Epithelial Human Tongue SCC,27/2100,0.103874957,0.287836712,0,0,1.334607631,3.022308991,FAM89B;CITED2;ITPR1;TAPBPL;PRDM1;SLA2;FOXO3;PSTPIP1;GNA15;SNX2;RGS3;SESN1;PMVK;KDM4A;TRIP4;NBEAL2;PLAAT3;DHRS1;TEX2;SDCBP2;LZTFL1;TMEM154;RAET1E;PRPF18;NPC2;RIN3;ASB2
POU5F1 18692474 ChIP-Seq MESCs Mouse,37/3012,0.104549149,0.288603355,0,0,1.28375522,2.898845082,NARF;CITED2;ITGB3;ITPR1;ARHGAP18;GSTT2;DTX1;GIMAP4;SLC2A3;PPM1J;CROT;WDR45;CENPA;PLD3;HSD11B1;RAP1B;RGS3;CHMP1B;SESN1;ORMDL3;ANXA6;SNX9;OSTF1;IL12RB1;DUSP5;ENTPD1;UBE2H;ITPK1;RHOC;TEX2;SDCBP2;DOK2;RNF125;MAF;ID2;ATF6;SNTB2
TEAD4 22529382 ChIP-Seq TROPHECTODERM Mouse,23/1748,0.10616754,0.291960735,0,0,1.361581921,3.053669973,HIP1;INPP1;APLP2;ITPR1;GLRX;ABCB9;UBE2G2;PRDM1;LYST;SORL1;PLD3;TPST2;PSTPIP1;RNF125;PRPF18;IRAK2;ID2;SPATA13;S100A6;RAB19;CIR1;JAK2;S100A11
STAT3 18555785 ChIP-Seq MESCs Mouse,20/1485,0.106889237,0.292289414,0,0,1.390595374,3.109318626,DUSP5;L3MBTL3;UBE2H;CITED2;HPCAL1;HIP1R;GSTT2;SLC2A3;CROT;PRDM1;FOXO3;MFSD10;ID2;PMVK;EPSTI1;NCK2;PLEKHO2;OSTF1;ATF6;SNTB2
STAT3 24763339 ChIP-Seq IMN-ESCs Mouse,19/1398,0.107092265,0.292289414,0,0,1.402245201,3.132706265,KDM4A;L3MBTL3;ANXA2;CITED2;NGLY1;HPCAL1;AK3;SLC2A3;GLRX;TEX2;SORL1;RAP1B;DOK2;MAF;ID2;SIDT1;PGLYRP1;EIF4E2;GBP2
CDX2 19796622 ChIP-Seq MESCs Mouse,5/252,0.109223139,0.296988761,0,0,2.029793418,4.494698105,UBE2H;WIPF1;ITGB3;ARHGAP18;JAK2
SMAD4 19686287 ChIP-ChIP HaCaT Human,6/326,0.109633582,0.296992464,0,0,1.882731959,4.161989014,ANXA2;CASP1;FURIN;LITAF;SYTL2;S100A10
POU5F1 18555785 ChIP-Seq MESCs Mouse,7/403,0.110640517,0.298606006,0,0,1.777202073,3.91245512,TPST2;CITED2;ID2;TEX2;DNAJC15;ICAM1;SNTB2
TCF4 32651957 ChIP-Seq PLC/PRF/5 Human Liver Heptoma,9/561,0.111094713,0.298721339,0,0,1.643068518,3.610433041,NARF;ORMDL3;PMVK;PPM1J;BAK1;FOXO3;MXD1;OAZ2;S100A10
P53 21459846 ChIP-Seq SAOS-2 Human,21/1584,0.112697987,0.301914163,0,0,1.368865203,2.98829259,ENTPD1;NMB;GBP7;ANXA2;DGAT1;APAF1;WIPF1;CITED2;GMFG;ARHGAP18;RHOC;TEX2;OAZ2;PINK1;LPCAT4;GPR171;NUCB1;PGLYRP1;IL12RB1;VAMP5;S100A10
GATA3 22897851 ChIP-Seq JUKARTE6-1 Human,21/1587,0.114285166,0.304172849,0,0,1.366018108,2.96297318,HIP1;IFNGR1;GALNT2;ITPR1;HIP1R;PRDM1;RHOC;FOXO3;GIMAP7;SDCBP2;ASRGL1;LZTFL1;TMEM154;DOK2;IRAK2;ANXA6;UNC119;ANO10;PLEKHO2;BID;SLAMF1
POU5F1 18700969 ChIP-ChIP MESCs Mouse,6/330,0.114379046,0.304172849,0,0,1.859106529,4.030984266,RNF125;ID2;AK3;OSTF1;TEX2;PLD3
CEBPB 26923725 Chip-Seq MESODERM Mouse,12/814,0.116662701,0.309014305,0,0,1.512017828,3.248522535,DUSP5;RGS3;MAF;ANXA2;APAF1;ID2;APLP2;PRDM1;BID;TEX2;SNX20;TMEM154
DROSHA 22980978 ChIP-Seq HELA Human,7/409,0.117050873,0.309014305,0,0,1.750135334,3.754296903,PSTPIP1;GNA15;NUCB1;RIN3;IL12RB1;ATF6;MYO1F
EGR1 20690147 ChIP-Seq ERYTHROLEUKEMIA Human,57/4931,0.118855268,0.312641031,0,0,1.22066567,2.599833266,HIP1;FAM89B;CSF1;WIPF1;CITED2;GMFG;CROT;LITAF;ICAM1;ACTG1;PODNL1;RGS3;ANXA6;EFHD2;PGLYRP1;CTSD;IFNGR1;APLP2;ITPK1;SH2D3C;HPCAL1;RHOC;TEX2;PRPF18;MAF;SPATA13;RIN3;S100A4;EIF4E2;L3MBTL3;TBC1D9B;INPP1;ITPR1;DTX1;FURIN;PPM1J;PLD3;SH3BGRL;GNA15;RNF138;IRAK2;ORMDL3;SNX9;S100A10;UBE2H;GALNT2;IL10RA;HIP1R;UBE2G2;SORL1;PNRC2;ID2;RANBP10;ZYX;SIPA1;MYO1F;SNTB2
TAL1 26923725 Chip-Seq HPCs Mouse,19/1420,0.119395766,0.312928974,0,0,1.378577259,2.929906163,ANXA2;SLA;GLRX;GIMAP5;PRPF18;RNF138;CXCR3;HLTF;EPSTI1;RANBP10;SNX9;BAK1;CCR5;JAK2;BID;ATF6;SIPA1;MYO1F;CCR2
GATA1 19941826 ChIP-Seq K562 Human,10/654,0.121407831,0.31705786,0,0,1.565544296,3.301106542,DOK2;UBE2H;NARF;MAF;GALNT2;HLTF;EHBP1L1;ITPR1;FURIN;FOXO3
RCOR3 21632747 ChIP-Seq MESCs Mouse,27/2142,0.123195095,0.320572183,0,0,1.305005534,2.732663373,UNC119B;NARF;WIPF1;ITGB3;SLC2A3;FOXO3;CENPA;ACTG1;RAP1B;GNA15;SNX9;BAK1;CTSD;KDM4A;APAF1;ITPK1;F2R;TEX2;ASRGL1;PINK1;RNF125;PRPF18;ID2;SIDT1;PXMP4;MXD1;ASB2
EWS-ERG 20517297 ChIP-Seq CADO-ES1 Human,12/830,0.129071435,0.334663792,0,0,1.481194403,3.032581524,DUSP5;KDM4A;ITGB3;F2R;RANBP10;ITPR1;EFHD2;TRIP4;ARHGAP18;BID;VAMP5;CENPA
GF1 26923725 Chip-Seq HPCs Mouse,15/1089,0.130774609,0.33787319,0,0,1.413709799,2.875881539,KDM4A;CSF1;GALNT2;ITGB3;F2R;TRAFD1;GIMAP5;SNX20;SYTL2;TMEM154;DOK2;PRPF18;UNC119;BID;MYO1F
TCF4 23295773 ChIP-Seq U87 Human,38/3177,0.133509468,0.343715864,0,0,1.245025741,2.506962524,L3MBTL3;PGLYRP2;ITGB3;ITPR1;AK3;GIMAP4;FURIN;ABCB9;TAPBPL;SLA2;HIF1A;LYST;GIMAP7;RAP1B;PSTPIP1;RNF138;SESN1;CCL5;HLTF;EPSTI1;NCK2;ANO10;SNX9;DUSP5;UBE2H;ANXA2;F2R;SH2D3C;HPCAL1;TRIP4;TEX2;ASRGL1;TMEM154;RANBP10;SIDT1;RAB19;RIN3;EIF4E2
SMAD4 21799915 ChIP-Seq A2780 Human,27/2167,0.135701229,0.348124002,0,0,1.287936902,2.572395929,WIPF1;ITPR1;AK3;GIMAP4;GLRX;HIF1A;LYST;OAZ2;HSD11B1;GNA15;SNX2;IRAK2;NCK2;ANO10;SNX9;JAK2;S100A11;S100A10;GALNT2;IL10RA;TRIP4;TRAFD1;TEX2;TMEM154;PRPF18;RIN3;ATF6
TBX2 35687133 ChIP-Seq MCF-7 Human BreastCancer,11/756,0.137732027,0.352089617,0,0,1.488619012,2.951105791,DUSP5;NARF;ADGRE5;TMEM120A;EHBP1L1;PPM1J;ABCB9;CROT;HIF1A;S100A11;MSRB1
